店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
完全個室居酒屋 地鶏専門店 いいとこ鷄 有楽町,050-5485-3854,,東京都,千代田区,有楽町1-2-11,8F,https://ghcz611.gorp.jp/,TRUE
個室居酒屋「箱崎酒場 酔饗亭」,050-5486-9162,,東京都,中央区,日本橋箱崎町19-24,2F,https://gj3x300.gorp.jp/,TRUE
完全個室居酒屋 水炊き 波多野,050-5486-8100,,東京都,渋谷区,円山町7,,https://gay3102.gorp.jp/,TRUE
炭火焼肉 矢つぐ 小岩店,050-5487-9586,,東京都,江戸川区,西小岩1-19-26,真田ビル1F,https://ghvz802.gorp.jp/,TRUE
個室と鮮魚と地酒 和楽庵 御徒町,050-5487-9428,,東京都,台東区,台東4-32-7,第2宮地ビル1F,https://gc5g301.gorp.jp/,TRUE
完全個室居酒屋 大吉～だいきち～ 新宿西口店,050-5494-6036,,東京都,新宿区,西新宿1-18-5,甲新ビル5F,https://ggz9500.gorp.jp/,TRUE
青樺,050-5487-0460,,東京都,大田区,矢口1-17-1,,https://g797400.gorp.jp/,TRUE
酔場フタマタ 恵比寿店,050-5488-2306,,東京都,渋谷区,恵比寿南1-4-16,水岡ビル1F,https://gdup052.gorp.jp/,TRUE
牛牛 西麻布総本店,050-5484-3879,,東京都,港区,西麻布1-2-3,アクティブ六本木B1,https://ge2w600.gorp.jp/,TRUE
個室で愉しむ韓国料理居酒屋 土火土火 東京・八重洲本店,050-5484-8637,,東京都,中央区,八重洲1-4-9,,https://a861801.gorp.jp/,TRUE
博多もつ鍋 もつ衛門,050-5484-5909,,東京都,港区,西麻布3-24-4,,https://b909300.gorp.jp/,TRUE
クラフトビールダイニング SCHMATZ ‐シュマッツ‐ 中目黒,050-5494-1728,,東京都,目黒区,上目黒1-22-4,中目黒勧業ビル1F・2F,https://gebh111.gorp.jp/,TRUE
マイペンライ,050-5486-2668,,東京都,町田市,原町田6-17-1,藤ビル2F,https://g976000.gorp.jp/,TRUE
食べ飲み放題全170種 個室居酒屋 マルヤス酒場 新橋店,050-5493-7673,,東京都,港区,新橋2-12-8,GEMS新橋5F,https://ghw6700.gorp.jp/,TRUE
炭火居酒屋 りん,050-5484-3814,,東京都,江戸川区,一之江8-16-8,,https://sumibi-rin.gorp.jp/,TRUE
焼肉 燈花,03-6810-8731,,東京都,中央区,日本橋人形町2-23-1,パークホームズ日本橋人形町二丁目１F,https://a301501.gorp.jp/,TRUE
コスタブラバ,050-5484-4603,,東京都,渋谷区,笹塚1-15-5,堀内ビル2F,https://costa-brava.gorp.jp/,TRUE
シュラスコ 肉寿司チーズ 個室居酒屋 Monte Meat 新宿店,050-5494-5535,,東京都,渋谷区,代々木2-14-1,新宿松本ビルB1,https://gha4800.gorp.jp/,TRUE
熱々鉄板チェインズ 日比谷 （日ゞ小路内）,050-5488-4510,,東京都,千代田区,内幸町2-2-3,日比谷国際ビルB2,https://ggu5500.gorp.jp/,TRUE
ビストロ お野菜と．,050-5488-5848,,東京都,新宿区,神楽坂6-23,神楽坂ガーデンA棟 2F,https://ggxe400.gorp.jp/,TRUE
ロイヤルホスト 永福町店,03-3327-1918,,東京都,杉並区,永福4-17-5,,https://ga64057.gorp.jp/,TRUE
平成第七立呑酒場 豚呑千鶏,042-318-5237,,東京都,国分寺市,本町2-12-4,ユーリービル1F,https://gh3d701.gorp.jp/,TRUE
イタリアンバー ボッチャーノ 恵比寿ガーデンプレイスタワー,050-5486-8315,,東京都,渋谷区,恵比寿4-20-3,恵比寿ガーデンプレイスタワー39F,https://boccianopizza.gorp.jp/,TRUE
蕎麦割烹・個室 赤坂三平,050-5486-5324,,東京都,港区,赤坂2-14-13,シャトレ赤坂,https://gf6g600.gorp.jp/,TRUE
個室×燻製 伊蔵 虎ノ門,050-5486-9674,,東京都,港区,虎ノ門1-11-2,虎ノ門平和ビルB1,https://izotoranomon.gorp.jp/,TRUE
